customer_id,first_name,last_name,email,phone_number,address,date_of_birth,username,password
1,Paul,Ward,paul.ward@gmail.com,735-657-4625,"1074 Hughes Curve, West Davidborough, AZ 55844",1974-08-29,paulward,river
2,Bryan,Herrera,bryan.herrera@gmail.com,118-666-2354,"1288 Marshall Islands Apt. 991, East Erinhaven, DE 53862",1963-08-23,bryanherrera,leaf
3,Whitney,Smith,whitney.smith@gmail.com,304-904-2874,"09124 Daniel Groves Apt. 893, Port Traceyborough, DC 14304",1957-10-31,whitneysmith,sun
4,Susan,Bowman,susan.bowman@gmail.com,895-908-6428,"31645 Amanda Road, Port James, HI 39506",1952-11-30,susanbowman,fish
5,Patricia,Flores,patricia.flores@gmail.com,783-431-1393,"88864 Robert Lock, Ambershire, AK 99026",1955-10-15,patriciaflores,tree
6,Anna,Jensen,anna.jensen@gmail.com,282-522-4547,"USNV Coleman, FPO AP 70510",1945-10-29,annajensen,bird
7,Mary,Russell,mary.russell@gmail.com,667-219-7902,"74765 Roberts View, Cochranside, SD 82356",1985-08-22,maryrussell,fish
8,Kendra,Mendez,kendra.mendez@gmail.com,944-681-5024,"30323 Matthew Shores, Port Staceyhaven, CA 90473",1970-04-05,kendramendez,river
9,Brandon,Jackson,brandon.jackson@gmail.com,111-274-7072,"2864 Mary Court, East Lindseymouth, NV 81828",1937-06-11,brandonjackson,tree
10,Ryan,Morales,ryan.morales@gmail.com,853-780-9928,"198 Long Falls Suite 128, Kimberlybury, KS 75269",1934-09-25,ryanmorales,tree
11,Kristina,Thomas,kristina.thomas@gmail.com,496-622-5214,"USS Davis, FPO AA 27008",1940-12-15,kristinathomas,fish
12,Lisa,Hood,lisa.hood@gmail.com,108-197-6015,"1413 Edwards Lake, Wardburgh, RI 24677",1937-01-06,lisahood,bird
13,Mark,Palmer,mark.palmer@gmail.com,713-382-6370,"10012 Ramirez Plaza, New Williamborough, FL 32240",1967-07-31,markpalmer,fish
14,Jennifer,Alexander,jennifer.alexander@gmail.com,999-880-6659,"9786 Catherine Ford, Leblancport, MD 80286",1974-02-17,jenniferalexander,cloud
15,Taylor,Long,taylor.long@gmail.com,833-138-5720,"7132 Carr Ramp Apt. 911, Blairhaven, DC 48655",1965-12-28,taylorlong,sun
16,Antonio,Riggs,antonio.riggs@gmail.com,657-730-7853,"106 James Via, Dominguezville, IL 72486",1962-02-27,antonioriggs,sun
17,Donald,Taylor,donald.taylor@gmail.com,279-687-1189,"616 Barker Parks Suite 220, Port Michaelbury, IL 30806",1975-09-11,donaldtaylor,leaf
18,Douglas,Kelley,douglas.kelley@gmail.com,650-948-4620,"PSC 9098, Box 7318, APO AA 17917",1993-10-21,douglaskelley,bird
19,Dawn,Frazier,dawn.frazier@gmail.com,681-483-1220,"871 John Hollow Suite 332, Selenamouth, MI 32570",1972-10-22,dawnfrazier,river
20,Carrie,Barber,carrie.barber@gmail.com,988-333-5252,"PSC 2953, Box 0186, APO AE 84029",1966-07-16,carriebarber,sun
21,Erica,Russo,erica.russo@gmail.com,976-786-5902,"900 Maldonado Keys, Martinhaven, NE 77384",1964-04-11,ericarusso,bird
22,Alex,Johnson,alex.johnson@gmail.com,378-823-5589,"33597 Samantha Point, East Marcburgh, NV 83671",1987-06-22,alexjohnson,cloud
